# Constructed from biom file
#OTU ID	S8.4.Gut.S8	S8.5.Gut.S8	S8.2.Gut.S8	S8.3.Gut.S8
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	13353.0	12078.0	17717.0	18658.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	1438.0	3342.0	1707.0	3280.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;__	193.0	9.0	90.0	19.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	183.0	1.0	36.0	2.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	112.0	219.0	173.0	414.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	148.0	26.0	35.0	17.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	94.0	33.0	69.0	24.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae	19.0	162.0	20.0	114.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae	14.0	4.0	25.0	19.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	10.0	109.0	69.0	20.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriales	3.0	11.0	14.0	17.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RsaHf231;f__RsaHf231	0.0	5.0	0.0	20.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__	0.0	0.0	87.0	0.0
